Ref,Val,Package,PosX,PosY,Rot,Side
"C101","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.122000,-160.401000,180.000000,top
"C201","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.863000,-103.505000,270.000000,top
"C202","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.179000,-102.489000,180.000000,top
"C203","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.783000,-103.505000,270.000000,top
"C301","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.466500,-87.312500,270.000000,top
"C302","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.036500,-87.312500,270.000000,top
"C303","C_0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.386500,-87.312500,270.000000,top
"D101","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-120.904000,180.000000,top
"D102","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-114.808000,180.000000,top
"D103","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-108.712000,180.000000,top
"D104","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-102.616000,180.000000,top
"D105","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.812000,-96.520000,180.000000,top
"R101","R_15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.910500,-76.898500,180.000000,top
"R102","R_4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.910500,-72.961500,0.000000,top
"R103","R_10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.245000,-107.950000,0.000000,top
"R104","R_750","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.480000,-120.904000,0.000000,top
"R105","R_750","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.480000,-114.808000,0.000000,top
"R106","R_750","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.480000,-108.712000,0.000000,top
"R107","R_750","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.480000,-102.616000,0.000000,top
"R108","R_750","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.432000,-96.520000,0.000000,top
"R109","R_10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.515000,-128.270000,90.000000,top
"R201","R_270","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.179000,-95.758000,0.000000,top
"R202","R_10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.228000,-97.155000,90.000000,top
"R301","R_270","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.211500,-75.882500,270.000000,top
"R302","R_10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.450500,-81.851500,180.000000,top
