Designator,Mid X,Mid Y,Layer,Rotation
C101,101.4625,-152.151,top,180
C201,107.495,-173.363,top,180
C202,108.511,-161.679,top,90
C203,107.5,-168.5,top,180
C301,128.1875,-173.4665,top,180
C302,128.1875,-162.0365,top,180
C303,127.362,-168.45,top,180
D101,161,-133,top,270
D102,161,-110.975,top,270
D103,161,-89.025,top,270
D104,161,-67,top,270
D105,100.062,-82.27,top,180
D106,161,-155.025,top,270
R101,140.062,-169.847,top,90
R102,143.618,-169.974,top,270
R103,147.5,-82.75,top,180
R104,161,-126,top,90
R105,161,-104,top,90
R106,161,-82,top,90
R107,161,-60,top,90
R108,105.75,-82.25,top,0
R109,127.5,-82.75,top,180
R110,96.25,-88,top,90
R111,141.5,-71.5,top,0
R112,121.5,-71.5,top,0
R113,161,-148,top,90
R114,95,-162,top,0
R115,95,-157.75,top,0
R201,116.5,-161.679,top,270
R202,113.845,-172.728,top,0
R203,112.5,-161.679,top,90
R301,140.951,-165.275,top,180
R302,134.5,-172,top,0
R303,147.428,-169.974,top,90
