Designator,Mid X,Mid Y,Layer,Rotation
C1,109.321600mm,-86.106000mm,Top,0
C7,156.382720mm,-112.877600mm,Top,270
C8,153.708100mm,-112.890300mm,Top,270
C9,159.064960mm,-112.867440mm,Top,270
C10,139.700000mm,-111.760000mm,Top,90
C11,142.875000mm,-111.760000mm,Top,90
C14,109.590840mm,-107.802680mm,Top,90
D1,107.934760mm,-103.108760mm,Top,180
R1,152.781000mm,-106.553000mm,Top,90
R2,157.226000mm,-108.077000mm,Top,90
R3,106.852720mm,-107.746800mm,Top,270
R4,170.815000mm,-109.093000mm,Top,0
R5,121.236740mm,-108.912660mm,Top,270
R6,118.544340mm,-108.861860mm,Top,90
R7,118.704360mm,-105.912920mm,Top,180
R8,144.500000mm,-52.000000mm,Top,180
R9,147.500000mm,-82.500000mm,Top,90
R10,143.000000mm,-82.500000mm,Top,90
R11,138.500000mm,-82.500000mm,Top,90
R12,134.000000mm,-82.500000mm,Top,90
U2,163.029900mm,-108.292900mm,Top,270
U5,147.002500mm,-109.537500mm,Top,0
