"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"Molex_Nano-Fit_105312-1106";1;"Conn_02x03_Odd_Even";;;
2;"D2,D3,D4,D5,D6,D7";"AA3528LSECKT-J4";6;"LED";;;
3;"LS1";"PT-1340";1;"PKB24SPCH3601-B0";;;
4;"C7,C9,C10";"C_0805_OEM";3;"100n";;;
5;"C8";"C_0805_OEM";1;"10u";;;
6;"R1,R2";"R_0805_OEM";2;"R_4.99K";;;
7;"U2";"MPL3115A2";1;"MPL3115A2";;;
8;"U3";"Teensy3-6";1;"Teensy3.6";;;
9;"C11";"C_0805_OEM";1;"1u";;;
10;"U5";"ADXL345";1;"ADXL345BCCZ";;;
11;"J2";"RFM9X_header";1;"RFM9X_header";;;
12;"J1";"PinSocket_1x09_P2.54mm_Vertical";1;"Conn_01x09_Female";;;
13;"R5";"R_0805_OEM";1;"R_20k";;;
14;"C14";"C_0805_OEM";1;"C_1uF";;;
15;"R6";"R_0805_OEM";1;"R_8k";;;
16;"R7";"R_0805_OEM";1;"R_475";;;
17;"U7";"TPS2113ADRBR";1;"TPS2113ADRBR";;;
18;"C1";"C_0805_OEM";1;"C_10uF";;;
19;"D1";"SOT-23";1;"D_Zener";;;
20;"R3";"R_0805_OEM";1;"R_20";;;
21;"R4,R8,R9,R10,R11,R12";"R_0805_OEM";6;"R_750";;;
