Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_10uF","C_0805_OEM",109.321600,-86.106000,0.000000,top
"C7","100n","C_0805_OEM",156.382720,-112.877600,270.000000,top
"C8","10u","C_0805_OEM",153.708100,-112.890300,270.000000,top
"C9","100n","C_0805_OEM",159.064960,-112.867440,270.000000,top
"C10","100n","C_0805_OEM",139.700000,-111.760000,90.000000,top
"C11","1u","C_0805_OEM",142.875000,-111.760000,90.000000,top
"C14","C_1uF","C_0805_OEM",109.590840,-107.802680,90.000000,top
"D1","D_Zener","SOT-23",107.934760,-103.108760,180.000000,top
"R1","R_4.99K","R_0805_OEM",152.781000,-106.553000,90.000000,top
"R2","R_4.99K","R_0805_OEM",157.226000,-108.077000,90.000000,top
"R3","R_20","R_0805_OEM",106.852720,-107.746800,270.000000,top
"R4","R_750","R_0805_OEM",170.815000,-109.093000,0.000000,top
"R5","R_20k","R_0805_OEM",121.236740,-108.912660,270.000000,top
"R6","R_8k","R_0805_OEM",118.544340,-108.861860,90.000000,top
"R7","R_475","R_0805_OEM",118.704360,-105.912920,180.000000,top
"R8","R_750","R_0805_OEM",144.500000,-52.000000,180.000000,top
"R9","R_750","R_0805_OEM",147.500000,-82.500000,90.000000,top
"R10","R_750","R_0805_OEM",143.000000,-82.500000,90.000000,top
"R11","R_750","R_0805_OEM",138.500000,-82.500000,90.000000,top
"R12","R_750","R_0805_OEM",134.000000,-82.500000,90.000000,top
"U2","MPL3115A2","MPL3115A2",163.029900,-108.292900,270.000000,top
"U5","ADXL345BCCZ","ADXL345",147.002500,-109.537500,0.000000,top
